Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	PiEntropy	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
1	35.745453	50.91784	346.0	9.0	377.5	81.32435	500.0	262.0	35.745453	377.5	2000	5.6202493	3.2045472	12.890781	-0.10601144	5.627921	3.1965117	12.708204	-0.110743724	0.6560362	0.20794417	0.75852764	-6.123313	0.28409842	0.27868366	-0.12341041	74.0391902923584
2	260.14285	112.05793	440.0	35.0	345.4	66.30113	451.0	233.0	260.2857	345.4	4000	15.415022	3.909937	22.921316	-2.4093986	15.415141	3.9054468	22.772736	-2.998494	0.41996533	0.20794417	0.4792946	-15.860102	0.40480024	0.40804073	-0.15221289	141.50338172912598
3	331.16666	65.818985	386.0	213.0	324.1	66.248695	500.0	249.0	331.33334	324.1	6000	24.179384	4.943786	33.703964	-4.6853065	24.17918	4.936695	33.84878	-5.2122254	0.32349002	0.20794417	0.33469972	-24.60163	0.6221668	0.6331554	-0.124972254	206.05408000946045
4	261.875	39.81657	313.0	212.0	296.8	48.0974	419.0	254.0	262.0	296.8	8000	31.96302	6.4643674	44.8863	-8.962377	31.962364	6.4560733	45.176395	-8.127636	0.26903638	0.20794417	0.22851208	-32.355713	0.7839426	0.8033345	-0.08942483	266.50383257865906
5	228.125	40.535286	267.0	129.0	279.5	54.371407	414.0	223.0	228.25	279.5	10000	38.079784	8.312464	54.933464	-11.477861	38.079388	8.304536	54.585495	-9.835667	0.24493325	0.20794417	0.15718941	-38.452408	0.8994892	0.91956615	-0.06807402	323.4658031463623
6	263.875	35.96678	331.0	222.0	285.5	43.669785	372.0	230.0	264.0	285.5	12000	43.33473	10.454026	64.647675	-13.284701	43.33439	10.447308	63.995922	-10.930292	0.22053345	0.20794417	0.11445506	-43.692047	0.9366662	0.9596608	-0.026797988	382.03286623954773
7	266.125	91.74753	478.0	191.0	327.5	83.90382	500.0	239.0	266.25	327.5	14000	48.15021	12.756501	73.26183	-16.216904	48.14995	12.753402	73.01341	-12.2407255	0.20771986	0.20794417	0.10358291	-48.489082	0.9851958	1.0012285	0.0005016602	447.4686830043793
8	264.85715	84.88551	332.0	61.0	268.1	31.017574	322.0	207.0	265.0	268.1	16000	52.122364	14.726228	79.63468	-18.153427	52.122322	14.724346	79.398254	-14.06273	0.1996997	0.20794418	0.12464348	-52.446186	1.1175936	1.1396179	0.017314987	502.14983677864075
9	282.7143	56.00947	393.0	206.0	306.4	78.75176	500.0	232.0	282.85715	306.4	18000	55.420578	16.358934	85.675476	-18.200607	55.420673	16.35875	85.54098	-14.631122	0.20622464	0.20794417	0.14623876	-55.72432	1.1947658	1.2224811	0.0033382298	563.7825012207031
10	300.0	44.51324	337.0	227.0	285.4	45.323723	375.0	225.0	300.0	285.4	20000	58.390404	17.869532	90.97328	-19.599478	58.390488	17.867828	90.80434	-14.70561	0.20870744	0.20794415	0.14759314	-58.679993	1.3243366	1.3749021	-0.0014627522	622.9162075519562
11	279.14285	96.628044	446.0	126.0	293.2	39.2678	388.0	243.0	279.2857	293.2	22000	60.8232	19.203648	95.156456	-22.328745	60.82316	19.201933	94.92255	-16.839119	0.20752227	0.20794415	0.14351334	-61.088516	1.4180776	1.465275	0.0008200857	682.1629598140717
12	260.0	46.0923	336.0	171.0	311.2	70.80085	437.0	239.0	260.125	311.2	24000	62.85671	20.33229	99.91241	-21.378645	62.85687	20.329287	99.28089	-15.669519	0.20700149	0.20794417	0.14955123	-63.103783	1.4652452	1.5278609	0.0018012939	744.9148607254028
13	297.14285	127.90446	500.0	90.0	279.9	33.95718	348.0	234.0	297.2857	279.9	26000	64.5802	21.24561	103.77367	-23.368454	64.58019	21.24299	102.92683	-16.861635	0.21003114	0.20794417	0.14342387	-64.81843	1.6133878	1.6861758	-0.004002829	802.0787570476532
14	239.75	94.33948	327.0	9.0	306.3	42.343952	413.0	248.0	239.875	306.3	28000	65.76279	22.020216	107.24016	-22.112144	65.76252	22.016083	106.17165	-17.5103	0.20554812	0.20794417	0.154622	-65.98751	1.6219833	1.7221464	0.004621255	863.9308161735535
15	256.625	72.27195	335.0	90.0	319.7	68.78379	443.0	226.0	256.75	319.7	30000	66.63733	22.749727	109.831345	-25.269653	66.637505	22.74567	108.64641	-17.60778	0.2139299	0.20794417	0.13676989	-66.83882	1.523822	1.6077777	-0.011886267	928.4765374660492
16	244.5	80.794495	304.0	36.0	275.2	20.217813	315.0	250.0	244.625	275.2	32000	67.294945	23.147968	111.51566	-24.74655	67.29495	23.143963	110.51213	-18.111425	0.20663309	0.20794415	0.123367876	-67.48187	1.7420726	1.7959136	0.0027227055	984.9086554050446
17	258.625	72.5292	337.0	79.0	314.2	33.831345	381.0	254.0	258.75	314.2	34000	67.63294	23.643919	112.24394	-26.995655	67.632965	23.641987	110.81945	-20.029907	0.20333974	0.20794417	0.14134738	-67.802605	1.7083939	1.7497361	0.00907517	1047.7406206130981
18	270.14285	111.32118	365.0	9.0	352.8	63.593708	500.0	274.0	270.2857	352.8	36000	68.01916	23.927444	112.63419	-25.805136	68.018684	23.925425	111.446625	-22.326633	0.20051977	0.20794417	0.16077685	-68.18903	1.6426141	1.6910266	0.01324788	1116.8604490756989
19	284.2857	79.10159	387.0	118.0	239.3	37.907913	313.0	193.0	284.2857	239.3	38000	68.622635	24.285532	112.09695	-26.061783	68.62229	24.28304	110.811264	-22.849207	0.20130897	0.20794417	0.22639273	-68.812294	1.7192221	1.7655329	0.0105770165	1167.906244277954
